CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction
62743,50.0,Male,43,6,6,20.0,Standard,Monthly,151.0,4
56425,39.0,FEMALE,32,5,3,26.0,standard,Monthly,873.0,12
59176,40.0,Male,44,18,9,25.0,Basic,Quarterly,449.0,13
32929,29.0,Female,5,30,3,0.0,Standard,Monthly,863.0,5
9074,55.0,Female,14,8,0,20.0,Basic,Monthly,,8
56784,29.0,Female,33,11,1,23.0,Premium,Monthly,250.0,25
37288,31.0,Female,19,27,5,7.0,Premium,Annual,,30
9671,32.0,Female,32,12,5,17.0,Premium,Quarterly,,20
25616,31.0,Male,20,28,10,4.0,Basic,Quarterly,290.0,2
34982,58.0,Male,40,22,9,,Standard,ANNUAL,534.0,4
46080,53.0,Female,10,27,2,29.0,Basic,Monthly,141.0,2
46491,35.0,Male,35,1,8,19.0,Premium,Annual,,7
37780,53.0,Male,27,25,3,27.0,Premium,Annual,,9
32919,54.0,Female,15,18,9,14.0,standard,Annual,108.0,27
26219,42.0,Female,5,1,7,13.0,Premium,Quarterly,686.0,29
63285,26.0,Male,27,11,7,21.0,Standard,Annual,911.0,4
22803,64.0,Male,16,20,10,29.0,Premium,Monthly,311.0,16
26065,37.0,Female,47,23,10,27.0,Premium,Monthly,706.0,3
7614,32.0,Male,45,20,7,4.0,Standard,Annual,,17
60943,49.0,Female,8,3,8,26.0,Premium,Monthly,936.0,8
52042,28.0,Female,33,5,0,21.0,standard,Quarterly,314.0,16
15843,62.0,Female,56,12,6,14.0,Premium,MONTHLY,160.0,25
13827,,Female,21,28,4,4.0,Premium,Monthly,153.0,29
42367,51.0,Female,17,15,3,,Premium,Annual,,21
7263,46.0,Female,28,5,7,1.0,Standard,Annual,915.0,12
45942,33.0,Male,28,2,8,21.0,Standard,Annual,736.0,17
32433,23.0,Female,22,12,4,4.0,Standard,Annual,938.0,3
36458,27.0,Male,7,11,10,2.0,Basic,Monthly,529.0,8
58950,53.0,female,48,5,0,25.0,Standard,Monthly,875.0,17
20422,60.0,Male,30,23,2,16.0,Basic,Quarterly,163.0,2
20822,46.0,Male,26,14,9,1.0,Standard,QUARTERLY,157.0,8
56750,62.0,Male,50,3,9,19.0,Standard,Monthly,200.0,2
52904,20.0,Female,33,20,3,25.0,Basic,Quarterly,,8
2256,28.0,Female,49,11,1,12.0,standard,Quarterly,360.0,16
21504,40.0,M,25,17,5,1.0,BASIC,quarterly,,22
46813,37.0,MALE,30,1,4,25.0,Standard,Annual,284.0,9
44768,33.0,female,38,17,5,13.0,Standard,MONTHLY,,22
7985,53.0,Male,47,16,8,,Premium,Annual,,13
58088,53.0,Male,24,17,10,16.0,Standard,Quarterly,579.0,14
50271,65.0,Female,25,12,9,21.0,Standard,Quarterly,184.0,8
60764,,Male,43,19,5,24.0,Basic,Quarterly,759.0,16
40314,23.0,Male,52,15,6,12.0,Premium,Quarterly,,15
10613,55.0,Male,25,21,6,9.0,Basic,Monthly,953.0,29
8787,57.0,Male,37,14,0,13.0,basic,Monthly,452.0,24
48774,49.0,Male,56,20,5,23.0,Basic,Monthly,263.0,22
37817,19.0,Male,41,9,7,15.0,Premium,Monthly,,27
28946,47.0,Male,50,5,0,21.0,Standard,Monthly,317.0,19
23725,39.0,Female,29,5,9,28.0,Premium,Monthly,943.0,14
36969,55.0,Female,44,12,1,,Premium,Monthly,227.0,24
38344,39.0,Female,47,29,0,,Premium,Monthly,872.0,17
44848,55.0,Female,7,12,5,5.0,Basic,Annual,200.0,4
23963,35.0,Male,44,6,2,28.0,premium,Monthly,,29
10970,61.0,Male,55,22,3,6.0,Basic,Annual,605.0,4
9607,57.0,Female,37,18,6,12.0,premium,Annual,,14
54567,55.0,Female,27,29,10,17.0,STANDARD,Annual,707.0,28
52861,57.0,Female,39,23,3,30.0,Premium,MONTHLY,175.0,27
12552,24.0,Male,3,14,5,,Standard,Monthly,,3
32124,20.0,Male,34,15,2,14.0,Premium,Monthly,699.0,21
8007,61.0,Male,5,21,9,10.0,Standard,Monthly,,5
530,30.0,Male,11,1,5,6.0,Standard,Annual,373.0,23
60500,45.0,Male,40,1,10,16.0,Basic,Quarterly,944.0,26
46507,45.0,Female,42,4,6,19.0,Basic,Monthly,560.0,30
39278,35.0,Female,32,6,1,4.0,Basic,Quarterly,,27
12576,45.0,Female,24,26,5,2.0,Premium,ANNUAL,927.0,6
12336,47.0,Male,37,24,7,2.0,Premium,Quarterly,,27
12826,24.0,Female,29,20,10,18.0,Premium,Annual,,30
29540,31.0,Female,19,8,10,19.0,STANDARD,Quarterly,953.0,9
44409,52.0,Male,37,21,3,22.0,Basic,Annual,103.0,28
36467,23.0,male,20,4,1,,Basic,Annual,654.0,25
16987,46.0,Male,19,4,5,7.0,Premium,Annual,720.0,28
39379,19.0,Male,16,18,6,,Premium,Annual,,24
1182,53.0,Male,46,7,7,,Standard,Quarterly,463.0,13
38763,64.0,FEMALE,25,15,4,14.0,Premium,Quarterly,947.0,16
59894,48.0,Male,48,4,7,22.0,STANDARD,Annual,528.0,18
1604,34.0,Male,33,18,2,0.0,Standard,Annual,,15
57335,53.0,Female,52,20,5,29.0,Standard,Monthly,867.0,24
27497,37.0,FEMALE,17,5,5,,Standard,Quarterly,555.0,6
41936,58.0,female,20,11,7,22.0,Standard,Quarterly,998.0,3
15519,32.0,Female,19,22,0,28.0,Basic,Annual,,10
21901,49.0,Male,19,2,6,13.0,premium,monthly,,15
15153,47.0,Male,18,29,0,5.0,Premium,Monthly,732.0,6
30702,64.0,FEMALE,22,1,0,27.0,Premium,Quarterly,867.0,20
8493,44.0,Male,30,10,10,27.0,Standard,Annual,,29
3945,52.0,male,31,26,3,8.0,Basic,Monthly,,29
22802,29.0,Female,13,9,8,8.0,Premium,Quarterly,345.0,6
9784,29.0,Male,58,4,3,7.0,Premium,Monthly,386.0,23
19242,22.0,Male,43,2,9,28.0,Standard,Quarterly,,17
42926,45.0,Male,59,28,0,,standard,Monthly,355.0,22
20233,49.0,Female,34,30,6,14.0,Basic,Monthly,502.0,25
64061,44.0,Female,31,2,2,,Premium,Quarterly,376.0,17
38748,,F,57,15,7,29.0,Standard,Monthly,446.0,14
35359,38.0,Male,15,12,5,22.0,Premium,Quarterly,109.0,8
58485,30.0,Female,55,16,10,17.0,Standard,Quarterly,922.0,6
19108,44.0,Male,8,16,5,0.0,Standard,Annual,,16
47887,63.0,Male,58,21,10,26.0,basic,Monthly,969.0,10
1871,51.0,FEMALE,59,16,9,11.0,Standard,Annual,621.0,1
177,29.0,Male,31,30,8,24.0,Premium,Quarterly,,11
38124,58.0,Female,50,14,8,7.0,Basic,Monthly,103.0,20
4146,63.0,Male,53,12,10,7.0,standard,Annual,118.0,14
56590,44.0,Female,27,13,8,24.0,Basic,Quarterly,782.0,30
1142,36.0,Female,54,1,3,9.0,Standard,Annual,856.0,23
16936,39.0,Male,47,18,5,15.0,Standard,Quarterly,,22
28746,22.0,Female,27,22,6,29.0,Basic,Annual,864.0,9
30234,41.0,Female,60,4,8,23.0,Standard,Monthly,462.0,14
53405,,female,38,2,4,,Basic,Monthly,282.0,2
968,51.0,Male,14,22,0,25.0,Standard,Annual,,3
45052,46.0,Male,21,8,8,10.0,Standard,Quarterly,530.0,3
59715,42.0,Male,55,15,9,22.0,Premium,Quarterly,681.0,14
48182,20.0,Female,37,20,6,25.0,Premium,Annual,456.0,28
42389,23.0,Female,15,13,4,29.0,Basic,Quarterly,681.0,20
52418,47.0,Female,16,8,1,,Premium,Monthly,823.0,22
22994,30.0,Male,56,16,2,16.0,Basic,Monthly,172.0,29
46256,33.0,Female,29,14,9,19.0,Premium,Quarterly,,6
27905,29.0,Male,26,19,6,25.0,Basic,Quarterly,152.0,27
27368,37.0,Female,37,28,7,17.0,Basic,Annual,547.0,4
120,32.0,Female,3,12,8,,Basic,Quarterly,990.0,21
8747,28.0,Female,16,29,0,15.0,standard,Annual,803.0,24
49570,51.0,Female,7,11,8,30.0,Standard,Monthly,930.0,5
63587,35.0,Female,34,29,9,23.0,Basic,Quarterly,443.0,24
7980,55.0,Female,16,24,0,5.0,Basic,Monthly,951.0,29
19560,18.0,Female,25,9,0,26.0,basic,Annual,217.0,23
42541,61.0,Female,48,8,9,12.0,Standard,Quarterly,,7
44449,,Female,60,20,8,22.0,Standard,Annual,245.0,4
20323,24.0,Female,55,11,9,,Standard,Annual,991.0,8
22776,63.0,Male,41,15,2,30.0,Premium,Monthly,657.0,1
9376,58.0,Female,55,24,8,23.0,Standard,Quarterly,128.0,7
59597,49.0,Female,44,5,8,24.0,Standard,Monthly,775.0,6
42468,36.0,Female,60,27,10,23.0,Standard,Monthly,405.0,7
31948,34.0,Female,37,24,4,11.0,BASIC,Monthly,665.0,8
61111,40.0,male,17,1,5,13.0,Basic,Annual,178.0,25
51335,57.0,Female,6,1,10,8.0,Premium,Monthly,657.0,4
18747,22.0,Female,8,11,0,18.0,Standard,Quarterly,856.0,16
47460,30.0,F,37,4,6,,Standard,Quarterly,371.0,21
22820,62.0,Male,12,18,10,18.0,Basic,Monthly,285.0,14
25312,,Female,13,12,5,7.0,Standard,Monthly,281.0,24
5200,23.0,Male,1,16,8,18.0,Premium,Monthly,,7
26306,,Female,13,22,1,3.0,Standard,quarterly,,13
38404,22.0,Male,7,3,0,,Premium,Annual,166.0,19
5489,47.0,Male,21,11,7,,Standard,Monthly,,17
43042,54.0,Female,2,7,10,10.0,Standard,Quarterly,983.0,30
12563,49.0,Female,47,7,3,15.0,Premium,Monthly,933.0,7
64166,56.0,Male,2,4,8,26.0,Standard,Annual,,15
7570,24.0,Male,23,6,6,29.0,Premium,Monthly,,20
57393,65.0,Male,29,20,7,20.0,Standard,Monthly,,21
7011,50.0,Male,26,1,6,30.0,Premium,Monthly,283.0,1
24070,36.0,Female,21,15,1,,Premium,Annual,,13
26259,50.0,Male,10,18,8,25.0,Standard,Annual,871.0,26
52203,49.0,Female,6,22,3,23.0,Premium,Monthly,596.0,19
54003,,Female,46,19,9,23.0,Premium,Annual,690.0,30
22231,41.0,Male,8,11,2,30.0,Premium,Quarterly,497.0,25
832,,Female,1,19,8,12.0,Premium,Annual,921.0,26
51148,57.0,Female,22,6,5,27.0,Premium,Monthly,957.0,11
5334,59.0,Male,25,22,7,13.0,Premium,Quarterly,,7
5602,50.0,Male,51,1,2,29.0,Standard,Monthly,825.0,17
50737,34.0,Female,24,19,10,24.0,Premium,Monthly,,2
31638,36.0,Female,12,9,0,3.0,Premium,Quarterly,805.0,3
21031,59.0,Female,8,13,6,,Premium,Monthly,521.0,8
9522,23.0,Female,3,14,1,19.0,Standard,Monthly,946.0,22
44109,49.0,Male,34,22,8,4.0,Basic,Annual,351.0,6
17877,56.0,Female,17,17,0,,Standard,Annual,745.0,19
36234,34.0,Male,60,25,3,4.0,Basic,Quarterly,453.0,18
25887,54.0,Female,52,25,9,24.0,Basic,Monthly,269.0,25
40791,25.0,Female,25,27,7,24.0,Premium,Monthly,449.0,11
12332,40.0,Female,50,23,9,4.0,Basic,Annual,435.0,18
22378,,Male,7,30,6,25.0,Basic,Annual,548.0,30
45727,50.0,Male,57,5,5,24.0,Premium,Monthly,792.0,14
36501,40.0,Male,49,8,10,17.0,Standard,Annual,489.0,23
27773,,Female,13,7,1,28.0,Basic,Annual,989.0,5
46430,64.0,Female,35,22,10,29.0,Standard,monthly,,14
59077,63.0,Female,60,10,7,24.0,Standard,Monthly,206.0,4
14253,23.0,Female,34,8,3,28.0,Standard,Quarterly,554.0,27
8908,62.0,Male,32,15,2,0.0,Standard,MONTHLY,,9
46289,62.0,Male,49,4,10,11.0,Standard,Monthly,187.0,8
63429,49.0,Male,59,30,5,,Basic,Monthly,366.0,16
63047,31.0,Female,48,4,5,,Premium,Annual,200.0,1
41381,37.0,Male,4,15,7,5.0,Basic,Annual,834.0,29
28970,53.0,Female,54,26,0,26.0,Basic,Monthly,,3
50857,41.0,Female,31,26,10,19.0,BASIC,Monthly,322.0,14
25342,38.0,Male,15,12,5,3.0,Premium,annual,,5
2127,51.0,Male,44,26,4,18.0,Basic,Monthly,122.0,5
37396,28.0,Male,13,27,1,20.0,Premium,Quarterly,801.0,22
16630,19.0,Female,17,1,9,23.0,Standard,Annual,931.0,7
47829,21.0,Female,1,21,0,27.0,Standard,Quarterly,,10
42467,22.0,Male,3,2,9,1.0,Premium,Quarterly,139.0,25
5863,56.0,Male,48,7,3,26.0,Premium,Annual,768.0,21
26582,,Male,13,10,8,2.0,Standard,Monthly,,23
55457,40.0,Female,25,4,9,25.0,Premium,Quarterly,905.0,17
53392,49.0,Female,28,10,7,25.0,PREMIUM,Monthly,894.0,15
62970,39.0,Female,43,27,8,,Standard,Monthly,874.0,2
54442,,F,50,21,0,,Basic,Monthly,207.0,10
59880,40.0,Male,10,1,7,17.0,Standard,Annual,629.0,7
53240,60.0,Female,18,18,8,28.0,Premium,Monthly,463.0,8
36848,54.0,Female,26,18,10,29.0,Premium,Quarterly,412.0,16
10836,26.0,Female,39,27,9,,Basic,Quarterly,851.0,8
27467,37.0,Male,38,13,3,,Basic,Monthly,210.0,17
52001,,Male,48,25,7,23.0,Standard,Monthly,869.0,22
15253,30.0,Male,14,29,8,12.0,Premium,Quarterly,683.0,24
51616,44.0,Male,48,10,7,18.0,Premium,Annual,816.0,19
38956,55.0,Male,26,5,10,,Standard,QUARTERLY,844.0,5
12386,23.0,Male,30,14,2,14.0,Standard,ANNUAL,,19
52787,56.0,Female,17,22,0,21.0,Basic,Quarterly,385.0,8
48060,25.0,female,1,26,9,,Standard,Monthly,708.0,14
20209,44.0,Female,25,21,5,0.0,Basic,Annual,780.0,9
11235,27.0,female,16,5,4,17.0,PREMIUM,Monthly,,8
47473,19.0,Female,44,12,7,20.0,Premium,Annual,627.0,14
12457,38.0,Male,50,17,3,12.0,Basic,Annual,704.0,10
59266,59.0,Male,35,1,9,,Basic,MONTHLY,122.0,10
21235,46.0,Female,12,11,0,24.0,Premium,Monthly,723.0,27
2450,47.0,Female,23,27,9,9.0,Basic,Annual,,22
16719,29.0,MALE,41,22,5,2.0,Basic,Monthly,616.0,17
4917,33.0,Female,19,11,8,5.0,Standard,Quarterly,578.0,14
47291,25.0,MALE,51,2,6,18.0,Premium,Annual,859.0,5
62451,39.0,Male,9,2,10,17.0,Standard,Annual,247.0,21
39272,36.0,Female,37,26,2,3.0,Standard,Annual,222.0,16
13903,26.0,Female,47,1,3,17.0,Basic,Quarterly,,30
35340,57.0,Female,21,25,8,8.0,Premium,Annual,425.0,29
9355,29.0,Male,58,26,0,2.0,Basic,Quarterly,,2
9343,,Male,4,29,7,14.0,Basic,Monthly,895.0,9
3856,46.0,Female,3,14,9,29.0,Standard,Monthly,513.0,26
41432,41.0,Female,4,16,9,10.0,Premium,Annual,171.0,18
34563,31.0,Male,34,25,4,2.0,Premium,Quarterly,,13
33857,63.0,Male,55,22,10,29.0,Premium,Annual,121.0,29
34507,46.0,Male,10,3,2,,Premium,Quarterly,,14
18755,24.0,Female,40,26,4,25.0,Basic,Annual,587.0,28
19388,25.0,Female,36,23,10,6.0,Standard,Monthly,,6
63291,36.0,FEMALE,60,22,0,,Premium,Monthly,232.0,11
58152,43.0,Female,25,18,10,17.0,Basic,monthly,538.0,23
63328,49.0,Female,48,9,5,17.0,Basic,quarterly,118.0,24
4544,39.0,M,40,22,5,16.0,Basic,Quarterly,,29
14970,44.0,Male,17,15,8,18.0,STANDARD,Quarterly,454.0,7
12488,46.0,Male,9,10,0,6.0,Basic,Monthly,500.0,16
57818,,Female,54,16,8,23.0,Standard,Quarterly,897.0,22
40283,63.0,Male,12,8,4,25.0,Basic,Monthly,,25
56295,22.0,Female,18,13,3,21.0,Standard,Quarterly,,22
3001,20.0,FEMALE,37,19,2,27.0,Standard,Monthly,307.0,27
35871,30.0,Male,23,19,3,2.0,premium,Annual,443.0,15
60691,19.0,Female,55,20,5,,Basic,Annual,593.0,14
49651,30.0,Female,46,2,9,27.0,Basic,Monthly,941.0,16
8172,46.0,Male,5,16,3,8.0,Standard,Monthly,,3
51538,34.0,Male,40,3,5,,Basic,Quarterly,140.0,8
30513,41.0,Female,18,7,2,29.0,Premium,Quarterly,991.0,30
61071,46.0,Male,49,29,5,27.0,Basic,Annual,919.0,28
17738,26.0,Female,37,7,5,18.0,Basic,Annual,868.0,23
40819,64.0,female,49,8,9,8.0,Standard,Annual,769.0,26
22368,28.0,Female,15,20,8,,Basic,Quarterly,,3
36580,62.0,Female,33,29,2,16.0,Basic,Annual,,27
11857,63.0,Female,57,10,6,11.0,Standard,Quarterly,267.0,12
45474,,F,15,19,10,27.0,Standard,Quarterly,,6
17050,,Male,50,16,4,10.0,Standard,Annual,,21
55095,60.0,Female,36,26,8,19.0,Standard,Quarterly,451.0,21
58411,58.0,Male,49,15,6,,Premium,Quarterly,,12
51919,49.0,Female,4,18,4,26.0,Standard,Monthly,330.0,20
46635,32.0,Male,56,18,8,22.0,Basic,Annual,138.0,26
48135,46.0,Female,60,18,7,23.0,Basic,Quarterly,874.0,27
62663,64.0,Female,2,10,3,,Basic,Annual,402.0,15
28840,27.0,Female,47,17,4,27.0,Premium,Monthly,499.0,17
17234,59.0,Male,42,29,1,14.0,Basic,Monthly,,12
19460,25.0,Female,10,15,1,8.0,Basic,Monthly,237.0,21
26384,34.0,Male,56,29,9,18.0,Basic,Quarterly,,6
62021,56.0,Female,1,5,6,13.0,Standard,Monthly,210.0,17
33569,38.0,female,39,19,8,3.0,Premium,Annual,620.0,28
7111,23.0,Female,27,22,8,11.0,Premium,Monthly,,3
40449,24.0,Male,9,16,1,9.0,Standard,Annual,297.0,18
15751,45.0,Female,34,26,7,19.0,Standard,Annual,,23
28879,48.0,M,35,27,10,8.0,Standard,Monthly,353.0,30
60867,24.0,Female,19,17,0,22.0,Basic,Monthly,998.0,22
35347,62.0,Female,19,24,7,23.0,Basic,Annual,114.0,7
41450,40.0,Female,37,22,9,30.0,Standard,Quarterly,701.0,8
41021,62.0,Female,22,10,5,12.0,PREMIUM,QUARTERLY,385.0,10
1119,43.0,Male,34,6,6,24.0,Standard,Quarterly,,30
26084,18.0,Female,16,18,3,6.0,Premium,Monthly,581.0,23
57941,48.0,Female,36,26,0,23.0,Standard,Quarterly,375.0,20
18098,63.0,Male,1,19,6,29.0,Standard,Monthly,583.0,3
27089,64.0,Male,27,18,0,16.0,Standard,Monthly,993.0,1
21370,21.0,Male,9,21,9,5.0,Basic,Monthly,649.0,30
4566,58.0,FEMALE,33,7,1,10.0,Premium,Quarterly,843.0,15
24207,59.0,Male,14,13,7,1.0,Basic,Monthly,975.0,28
17034,34.0,Female,55,17,6,18.0,Basic,QUARTERLY,337.0,10
53574,18.0,Male,31,4,7,27.0,Premium,Quarterly,542.0,30
64229,35.0,female,8,1,7,6.0,Basic,Annual,770.0,2
62684,39.0,Female,46,13,3,23.0,Standard,Monthly,608.0,26
29577,,Female,29,10,1,29.0,Basic,Monthly,102.0,14
3209,54.0,Male,44,3,6,0.0,Premium,Monthly,241.0,17
5714,29.0,female,37,19,6,16.0,Basic,Annual,447.0,13
36002,65.0,Female,58,23,1,14.0,Standard,Monthly,602.0,19
33077,51.0,Female,7,9,9,14.0,Standard,Annual,890.0,24
51268,37.0,FEMALE,48,10,5,18.0,Basic,Quarterly,897.0,29
47949,56.0,Female,40,21,10,20.0,Standard,Monthly,,17
24694,39.0,Male,21,15,4,26.0,Basic,Quarterly,682.0,1
43653,25.0,Male,20,8,3,13.0,Premium,Annual,894.0,29
9913,40.0,F,7,9,4,14.0,Premium,Annual,,15
43129,57.0,Female,41,21,8,24.0,Standard,Monthly,824.0,5
42848,63.0,Male,52,17,2,13.0,Premium,Annual,378.0,20
25769,21.0,Male,43,25,9,7.0,Premium,Annual,262.0,29
61681,42.0,Female,26,28,7,22.0,Basic,Quarterly,462.0,27
23542,,Male,41,14,0,0.0,Basic,Annual,,19
128,64.0,Female,36,17,4,,Standard,Monthly,237.0,5
29009,62.0,Female,19,17,9,13.0,Standard,Quarterly,175.0,14
38474,64.0,Male,4,14,0,13.0,Standard,Annual,883.0,5
5716,63.0,Female,6,21,4,28.0,Premium,Monthly,769.0,7
15014,62.0,Male,35,8,3,22.0,Basic,Annual,,14
25431,40.0,male,6,8,3,9.0,Standard,Quarterly,,26
27706,26.0,Male,47,25,10,24.0,Basic,Annual,436.0,29
1825,36.0,Male,7,5,5,28.0,Premium,Annual,,4
16717,57.0,Male,12,20,5,18.0,Premium,Monthly,,10
47947,37.0,Female,33,5,10,21.0,Premium,Monthly,192.0,19
26141,27.0,Male,32,13,10,20.0,STANDARD,MONTHLY,833.0,12
48608,20.0,Male,53,4,10,,Basic,Monthly,115.0,4
8226,,female,49,16,2,13.0,Basic,Quarterly,,25
26085,62.0,female,25,22,9,5.0,basic,Quarterly,359.0,24
12910,49.0,Male,48,16,5,,Premium,Monthly,164.0,14
34370,33.0,Male,37,28,9,,Standard,Quarterly,163.0,19
10743,53.0,Female,12,6,0,0.0,PREMIUM,Monthly,,20
57917,29.0,Male,52,28,5,20.0,Premium,Annual,946.0,30
17550,39.0,Female,19,30,5,28.0,Premium,Annual,,13
11840,38.0,Male,59,25,7,14.0,Premium,Monthly,,23
7487,56.0,Female,50,18,4,24.0,Standard,Annual,897.0,25
1444,42.0,Female,16,2,4,20.0,Basic,Quarterly,980.0,28
2062,48.0,F,44,25,0,22.0,Standard,MONTHLY,223.0,1
16949,22.0,Female,38,6,10,21.0,PREMIUM,Annual,,21
46156,42.0,Male,55,26,9,29.0,Standard,Annual,567.0,19
8307,48.0,Female,23,13,8,15.0,Premium,Annual,427.0,23
41820,32.0,Female,39,14,0,7.0,Basic,Annual,394.0,21
55894,39.0,female,54,25,10,20.0,PREMIUM,Annual,852.0,30
39913,62.0,Female,60,22,9,15.0,Premium,Annual,,29
43545,35.0,Female,15,29,4,2.0,Basic,quarterly,873.0,29
27865,35.0,Female,49,22,9,14.0,Premium,Annual,307.0,7
63363,30.0,female,7,17,1,27.0,Basic,Annual,270.0,15
52966,20.0,Male,37,14,5,29.0,Premium,Annual,653.0,16
36011,,Female,29,14,2,19.0,Basic,Annual,683.0,19
22936,53.0,M,23,15,2,10.0,Premium,Quarterly,549.0,5
52521,65.0,F,58,4,7,,Basic,Quarterly,830.0,15
44091,31.0,Female,35,5,0,21.0,Standard,Monthly,837.0,23
25865,61.0,Male,30,27,0,15.0,Standard,quarterly,565.0,23
11479,33.0,Male,31,19,5,0.0,Basic,Monthly,176.0,9
22280,48.0,Female,15,28,1,9.0,Premium,Monthly,,21
15470,53.0,Female,37,11,4,14.0,Premium,Annual,424.0,25
31288,,Female,26,16,0,14.0,Standard,Monthly,215.0,20
59534,59.0,Male,31,25,7,21.0,Basic,Monthly,426.0,8
64118,45.0,Male,45,24,5,29.0,Basic,Annual,665.0,16
40,42.0,Male,51,10,9,11.0,Basic,Monthly,,17
44200,,Female,45,29,6,17.0,Standard,Quarterly,920.0,10
21841,35.0,MALE,51,29,4,17.0,Standard,Monthly,874.0,2
20482,61.0,F,54,13,0,7.0,Standard,Quarterly,263.0,25
10736,18.0,Female,40,16,9,19.0,Premium,Annual,,15
45012,22.0,M,19,19,3,12.0,Standard,Monthly,347.0,1
22109,37.0,Male,20,11,10,11.0,Standard,Annual,131.0,24
10207,18.0,Female,58,26,7,27.0,Standard,Annual,820.0,19
15928,46.0,Female,60,1,8,3.0,Standard,Quarterly,244.0,14
22834,64.0,Male,51,8,7,6.0,Premium,Annual,,19
33746,53.0,Male,20,4,3,2.0,Standard,Annual,342.0,12
55835,40.0,Male,51,5,6,17.0,Premium,Annual,484.0,10
20965,39.0,Female,40,28,1,18.0,Premium,annual,485.0,11
3404,61.0,Female,53,24,2,27.0,Premium,Annual,437.0,27
18,45.0,Male,9,30,4,25.0,basic,Annual,127.0,18
22310,62.0,Female,3,11,6,27.0,Standard,Annual,821.0,23
45555,21.0,female,20,4,7,1.0,Standard,annual,364.0,8
62836,61.0,Female,29,3,8,1.0,Basic,QUARTERLY,812.0,8
11077,61.0,Female,42,16,9,13.0,Basic,Quarterly,913.0,29
22763,50.0,Female,48,18,4,23.0,Basic,Monthly,313.0,12
23013,50.0,Male,5,25,10,17.0,Standard,Annual,412.0,11
1806,,Male,53,30,7,20.0,Standard,Monthly,,11
49535,44.0,Female,18,16,0,28.0,Premium,Monthly,439.0,16
46675,47.0,Male,40,15,7,17.0,Premium,Quarterly,279.0,29
